,. | i,t | e,i | 5,e | Key.shift,5 | R,Key.shift | o,R | a,o | n,a | l,n | Key.enter
0,0.6746351718902588,0.3769559860229492,0.44485974311828613,0.8982386589050293,0.8342816829681396,0.8724579811096191,0.507307767868042,0.3366239070892334,0.4339468479156494,0.5084490776062012
1,0.517549991607666,0.35544800758361816,0.46126484870910645,0.8850727081298828,0.8006167411804199,0.6979169845581055,0.38167810440063477,0.3351280689239502,0.3872666358947754,0.5051310062408447
2,0.4737255573272705,0.34134602546691895,0.4609394073486328,0.904395341873169,0.7951862812042236,0.668452262878418,0.36632680892944336,0.31650376319885254,0.3794727325439453,0.48569369316101074
3,0.5281126499176025,0.35234975814819336,0.4739537239074707,0.9147303104400635,0.8189792633056641,0.7301182746887207,0.38512325286865234,0.31757187843322754,0.39623355865478516,0.49873781204223633
4,0.4983963966369629,0.35948944091796875,0.5058703422546387,0.8611092567443848,0.7384822368621826,0.6573998928070068,0.3752729892730713,0.32317399978637695,0.3769266605377197,0.5056116580963135
5,0.5018310546875,0.35379791259765625,0.43871283531188965,0.8834488391876221,0.8130149841308594,0.6881120204925537,0.3714120388031006,0.3284602165222168,0.3831918239593506,0.4979696273803711
6,0.4971795082092285,0.35295605659484863,0.4394509792327881,0.8466312885284424,0.7650885581970215,0.6527843475341797,0.3737797737121582,0.3267018795013428,0.3918180465698242,0.5107512474060059
7,0.46644091606140137,0.35596656799316406,0.4416515827178955,0.8917193412780762,0.8932597637176514,0.7332320213317871,0.4100780487060547,0.3583507537841797,0.4013938903808594,0.675339937210083
8,0.6247401237487793,0.3619651794433594,0.4256620407104492,0.9082920551300049,0.8759782314300537,0.7435929775238037,0.4343996047973633,0.34427857398986816,0.41635775566101074,0.5323889255523682
9,0.4527149200439453,0.3542826175689697,0.44245362281799316,0.8984720706939697,0.8045885562896729,0.7165193557739258,0.40448904037475586,0.3456838130950928,0.41324782371520996,0.527724027633667
10,0.4871237277984619,0.3372688293457031,0.41411924362182617,0.8219175338745117,0.8068158626556396,0.6849515438079834,0.4213571548461914,0.3314669132232666,0.384990930557251,0.49982690811157227
11,0.4948098659515381,0.3406689167022705,0.40482139587402344,0.8095173835754395,0.8184821605682373,0.7424731254577637,0.43218493461608887,0.3386728763580322,0.39978885650634766,0.5351426601409912
12,0.5127909183502197,0.345477819442749,0.3786048889160156,0.8130238056182861,0.7949512004852295,0.7079331874847412,0.41322922706604004,0.31923985481262207,0.3782217502593994,0.5136876106262207
13,0.4720799922943115,0.3356757164001465,0.42212867736816406,2.023559093475342,1.9434449672698975,1.3051297664642334,0.3768179416656494,0.30576300621032715,0.3707771301269531,0.48165416717529297
14,0.4397580623626709,0.3328711986541748,0.42162632942199707,0.8739912509918213,0.8396062850952148,0.7682583332061768,0.4302499294281006,0.31139373779296875,0.38775086402893066,0.5611178874969482
15,0.5043230056762695,0.3637351989746094,0.4406309127807617,0.8779506683349609,0.8662176132202148,0.7062926292419434,0.3425018787384033,0.31049299240112305,0.410919189453125,0.5053200721740723
16,0.41656064987182617,0.36954784393310547,0.5043489933013916,0.9042627811431885,0.7947585582733154,0.6626408100128174,0.3649771213531494,0.3352341651916504,0.4091660976409912,0.5217030048370361
17,0.48312950134277344,0.3442978858947754,0.42684292793273926,0.8564097881317139,0.811856746673584,0.7189619541168213,0.39600229263305664,0.3349123001098633,0.4177274703979492,0.5061831474304199
18,0.5260910987854004,0.3706820011138916,0.41054582595825195,0.888312816619873,0.8300070762634277,0.7511100769042969,0.39792585372924805,0.32086777687072754,0.4257538318634033,0.5116047859191895
19,0.5045998096466064,0.3525350093841553,0.4250190258026123,0.899878978729248,0.8683738708496094,0.7398676872253418,0.3822617530822754,0.3320329189300537,0.4115943908691406,0.5185704231262207
20,0.4313051700592041,0.3654050827026367,0.44832277297973633,0.8668439388275146,0.7859697341918945,0.7065796852111816,0.39633989334106445,0.3287472724914551,0.40415310859680176,0.5954718589782715
21,0.6200249195098877,0.40227317810058594,0.4150543212890625,0.8263034820556641,0.7916405200958252,0.7015345096588135,0.413008451461792,0.367504358291626,0.43248939514160156,0.5095973014831543
22,0.48108386993408203,0.36859798431396484,0.40509629249572754,0.8402385711669922,0.7913792133331299,0.6868650913238525,0.37343502044677734,0.31556010246276855,0.41533875465393066,0.5157785415649414
23,0.4548003673553467,0.3568122386932373,0.384674072265625,0.8750455379486084,0.8450126647949219,0.7449941635131836,0.3890984058380127,0.3078012466430664,0.4005899429321289,0.4942507743835449
24,0.4506528377532959,0.3610529899597168,0.4246513843536377,0.8348793983459473,0.8070924282073975,0.7075099945068359,0.3993058204650879,0.32728004455566406,0.380342960357666,0.48915696144104004
25,0.4507930278778076,0.3580341339111328,0.42685914039611816,0.9145920276641846,0.8692028522491455,0.7675607204437256,0.4099576473236084,0.29625773429870605,0.37972211837768555,0.5045499801635742
26,0.42742419242858887,0.33853626251220703,0.4062173366546631,0.8900682926177979,0.8338031768798828,0.726311206817627,0.3955249786376953,0.34087395668029785,0.41016387939453125,0.49434971809387207
27,0.42519640922546387,0.35559940338134766,0.41361308097839355,0.8741497993469238,0.8522160053253174,0.7489824295043945,0.39031243324279785,0.32463717460632324,0.40274572372436523,0.5145835876464844
28,0.485105037689209,0.3865511417388916,0.42363715171813965,0.8581509590148926,0.8475728034973145,0.7329709529876709,0.3956899642944336,0.3128690719604492,0.4208972454071045,0.522770881652832
29,0.4583439826965332,0.37583017349243164,0.4494202136993408,0.9158921241760254,0.8911068439483643,0.7786858081817627,0.4067211151123047,0.3198890686035156,0.4201970100402832,0.5272238254547119
