,.,t,i,e,5,Key.shift,R,o,a,n,l,Key.enter
0,0.1228339672088623,0.08957600593566895,0.05917000770568848,0.08933901786804199,0.09566903114318848,0.4072918891906738,0.08614087104797362,0.06806111335754395,0.07080578804016112,0.05820512771606445,0.07697701454162598,0.10243797302246094
1,0.10819196701049803,0.0738840103149414,0.055255889892578125,0.08923196792602539,0.05825090408325195,0.3842258453369141,0.08689999580383301,0.06435418128967285,0.0676720142364502,0.052036046981811516,0.06155490875244141,0.07672309875488281
2,0.09929895401000977,0.07077479362487793,0.0489039421081543,0.07995009422302246,0.06744503974914551,0.3724250793457031,0.08558797836303711,0.05224895477294922,0.07066893577575684,0.04892897605895996,0.055322885513305664,0.07429194450378418
3,0.10967588424682616,0.05800008773803711,0.049322843551635735,0.08880901336669922,0.0736689567565918,0.3772871494293213,0.09591507911682128,0.07075905799865723,0.06144404411315917,0.05511784553527832,0.07085490226745605,0.06759309768676758
4,0.09882807731628418,0.07171010971069336,0.05212616920471192,0.08621692657470703,0.06762313842773438,0.33671212196350103,0.08955502510070801,0.057091951370239265,0.049011945724487305,0.05523896217346192,0.06457185745239258,0.06755900382995605
5,0.09525299072265624,0.05352592468261719,0.049041032791137695,0.08636283874511719,0.07753396034240723,0.3826279640197754,0.08603096008300781,0.05837106704711914,0.048979997634887695,0.04273796081542969,0.058710813522338874,0.07371902465820312
6,0.0948481559753418,0.06748318672180176,0.046004056930541985,0.08415889739990234,0.07057809829711914,0.3563952445983887,0.08661603927612305,0.0552818775177002,0.05511784553527832,0.04065704345703125,0.05832004547119141,0.07065916061401367
7,0.09505701065063477,0.06754493713378906,0.0429079532623291,0.07375788688659668,0.09601283073425293,0.3930666446685791,0.1175100803375244,0.06766700744628906,0.06770491600036621,0.05827784538269042,0.04382801055908203,0.08007693290710449
8,0.09612083435058594,0.0582270622253418,0.05738520622253417,0.08056282997131348,0.07385802268981934,0.378507137298584,0.10909795761108397,0.06112098693847656,0.06195688247680664,0.045914888381958015,0.05532217025756836,0.07107806205749513
9,0.07878899574279785,0.06437492370605469,0.05521893501281738,0.08319592475891112,0.07065701484680176,0.3942191600799561,0.07992911338806152,0.058238983154296875,0.0615389347076416,0.054198026657104485,0.06141996383666992,0.07392191886901855
10,0.08880901336669922,0.06764483451843263,0.05306291580200195,0.08766508102416992,0.08004522323608397,0.3362722396850586,0.1214292049407959,0.05521392822265625,0.06170296669006348,0.04593610763549805,0.05545306205749512,0.06763887405395508
11,0.0919818878173828,0.06786203384399414,0.05518913269042969,0.08313393592834473,0.07629013061523438,0.3480801582336426,0.11208486557006836,0.07074999809265138,0.052124977111816406,0.04890894889831543,0.061291933059692376,0.0749208927154541
12,0.10483503341674803,0.07693791389465332,0.05195403099060058,0.08303594589233397,0.07998204231262207,0.3540370464324951,0.10545611381530763,0.05831289291381836,0.052219152450561516,0.05485391616821289,0.058233022689819336,0.06704401969909668
13,0.1012411117553711,0.07585597038269043,0.048930883407592766,0.08941197395324707,0.07354497909545897,0.9875609874725342,0.07633495330810547,0.05215287208557129,0.052293062210083015,0.05530691146850586,0.05836892127990723,0.062173128128051765
14,0.0955040454864502,0.07694101333618164,0.04911303520202637,0.08310413360595703,0.07044601440429688,0.3707671165466309,0.101729154586792,0.052026033401489265,0.049014806747436516,0.05501699447631836,0.060940980911254876,0.0831758975982666
15,0.1075420379638672,0.07424402236938478,0.07079195976257324,0.0986630916595459,0.10183286666870116,0.3792169094085693,0.1164259910583496,0.05528998374938965,0.08008408546447754,0.05531597137451172,0.06826901435852051,0.08005595207214355
16,0.09612798690795897,0.08006882667541504,0.06452488899230957,0.0933091640472412,0.05563497543334961,0.3679478168487549,0.09936690330505372,0.05531096458435058,0.07572197914123535,0.06762814521789551,0.058415889739990234,0.07697296142578125
17,0.09841179847717284,0.07384800910949707,0.0583958625793457,0.09551310539245604,0.09617280960083008,0.37756776809692383,0.09515905380249023,0.061712980270385735,0.07202816009521484,0.06559205055236816,0.0620121955871582,0.07362890243530272
18,0.09011006355285643,0.07395315170288086,0.06143593788146973,0.09909510612487793,0.08883905410766603,0.4158120155334473,0.08645105361938478,0.045955896377563484,0.0615849494934082,0.05515289306640625,0.05635499954223633,0.07387900352478027
19,0.10617399215698242,0.0738680362701416,0.058244943618774414,0.08014416694641112,0.1013929843902588,0.41515588760375977,0.09555602073669434,0.06463479995727539,0.06760406494140625,0.06272006034851074,0.06150507926940917,0.07821416854858397
20,0.06434321403503418,0.07245707511901855,0.05305981636047363,0.0930960178375244,0.08004093170166016,0.3752479553222656,0.0832068920135498,0.05838203430175781,0.06476593017578125,0.055242061614990234,0.03051400184631348,0.08943891525268555
21,0.09134292602539062,0.0769960880279541,0.061300992965698235,0.0729520320892334,0.08213615417480469,0.3581802845001221,0.09877300262451172,0.05828309059143065,0.06818914413452147,0.05526900291442871,0.05632805824279785,0.07421112060546875
22,0.08259820938110353,0.07383489608764647,0.06474781036376953,0.08717513084411621,0.08366608619689941,0.3590941429138184,0.0893709659576416,0.05833601951599121,0.0641489028930664,0.06468701362609862,0.07064986228942871,0.06863784790039062
23,0.07941293716430664,0.08001399040222168,0.05220317840576172,0.08293390274047853,0.08939599990844728,0.4052958488464356,0.09332704544067384,0.05842018127441406,0.061543941497802734,0.052124977111816406,0.05757498741149902,0.07789993286132812
24,0.07328510284423828,0.07082891464233397,0.05838704109191895,0.09018206596374513,0.07803511619567871,0.3697531223297119,0.09600400924682616,0.055162906646728516,0.06450295448303223,0.05522608757019043,0.060452938079833984,0.07082700729370117
25,0.06706809997558594,0.0740358829498291,0.05536198616027832,0.08315706253051758,0.08313393592834473,0.4072859287261963,0.10216498374938963,0.04938793182373047,0.05221390724182129,0.04920697212219238,0.054151058197021484,0.07117486000061035
26,0.08057308197021484,0.07073307037353516,0.0522451400756836,0.08112215995788574,0.07959794998168945,0.4024081230163574,0.0894920825958252,0.05519294738769531,0.06778502464294434,0.0651400089263916,0.06749486923217772,0.06757497787475586
27,0.0734410285949707,0.07702517509460449,0.05638813972473145,0.09632492065429688,0.09036493301391603,0.38526296615600586,0.10791802406311037,0.07078814506530763,0.055665016174316406,0.06289291381835938,0.058362007141113274,0.07706880569458008
28,0.09212994575500487,0.09021806716918944,0.0675661563873291,0.0924370288848877,0.08626008033752441,0.3621430397033691,0.1206519603729248,0.0520780086517334,0.05813002586364746,0.05222797393798828,0.06775212287902832,0.07688689231872559
29,0.07350802421569824,0.08326506614685059,0.05842399597167969,0.08354711532592772,0.07922005653381348,0.3876090049743652,0.12673592567443848,0.06453394889831543,0.061864137649536126,0.06255602836608888,0.0752711296081543,0.08008694648742676
