,Key,Mean,Variance,Standard deviation,Skewness,Kurtosis,K-S test,X^2 test
0,.-i,0.4920440912246704,0.0034916463611507657,0.05909015451960475,1.5207881531545153,2.256930848690666,"stat=0.661500101619, pvalue=2.00602214023e-13","stat=0.205789981588, pvalue=1.0"
1,t-e,0.35753368536631264,0.00024016380300227947,0.015497219202240106,0.7488080069629882,0.7985940787846282,"stat=0.630384244514, pvalue=4.48992443204e-12","stat=0.0194799834872, pvalue=1.0"
2,i-5,0.43270177046457925,0.0008392211136874696,0.028969313310595914,0.7549720612967532,0.828606275972319,"stat=0.647509354423, pvalue=8.37635522911e-13","stat=0.056245233919, pvalue=1.0"
3,e-shift,0.9119032700856526,0.04504780461837061,0.21224468101314248,5.019690320051631,23.85252669366848,"stat=0.790891196073, pvalue=1.54323064723e-20","stat=1.43259310147, pvalue=1.0"
4,5-r,0.8609662294387818,0.04313560252970635,0.20769112289577124,4.942901893055663,23.332451460335218,"stat=0.769889271255, pvalue=3.57811645193e-19","stat=1.45294023225, pvalue=1.0"
5,shift-o,0.7416733264923095,0.013212973052185556,0.11494769702862931,4.1144733748365265,17.70068998429875,"stat=0.743052342059, pvalue=1.44177675918e-17","stat=0.516637453211, pvalue=1.0"
6,r-a,0.39789230823516847,0.000888458260882788,0.029807016973907134,1.5107889438768836,4.295220519345181,"stat=0.634013384815, pvalue=3.16542123722e-12","stat=0.0647544298604, pvalue=1.0"
7,o-n,0.32713244756062826,0.0002385517746709403,0.015445121387381204,0.49229878077175987,0.365850360336454,"stat=0.616483369508, pvalue=1.66206570206e-11","stat=0.021147402274, pvalue=1.0"
8,a-l,0.4014395475387573,0.0003136235900642297,0.017709420940963307,0.027565111237854042,-1.0686543047180321,"stat=0.644598231674, pvalue=1.12030773733e-12","stat=0.022656173682, pvalue=1.0"
9,n-enter,0.5190113703409831,0.0013729979871646492,0.037053987466461005,2.8701223284935398,9.11254288233701,"stat=0.684974180036, pvalue=1.60960881666e-14","stat=0.0767168965906, pvalue=1.0"
